transactionId,accountId,amount,currency,type,valueDate,description,counterpartyId
TXN-ERR-001,ACC-001,500.00,EUR,CREDIT,2025-06-01,Valid record 1,
TXN-ERR-002,ACC-001,-100.00,EUR,DEBIT,2025-06-01,INVALID: negative amount,
TXN-ERR-003,ACC-002,200.00,EUR,CREDIT,2025-06-01,Valid record 2,
,ACC-003,150.00,EUR,CREDIT,2025-06-01,INVALID: missing transactionId,
TXN-ERR-005,ACC-001,75.00,BITCOIN,DEBIT,2025-06-01,INVALID: unsupported currency,
TXN-ERR-006,ACC-004,300.00,USD,CREDIT,2025-06-01,Valid record 3,
TXN-ERR-007,,50.00,EUR,DEBIT,2025-06-01,INVALID: missing accountId,
TXN-ERR-008,ACC-001,0.00,EUR,CREDIT,2025-06-01,INVALID: zero amount,
TXN-ERR-009,ACC-002,999.00,GBP,CREDIT,2025-06-01,Valid record 4,
TXN-ERR-010,ACC-001,125.00,EUR,CREDIT,INVALID_DATE,INVALID: bad date format,
